,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Average Points,,Average Percent Rank,
,Configuration Options,,,,,,,,,,,,,,,,,,,,,,,,Arcana, 3.49 , 4.89 ,50%,54%
,Current Turn,5,,,,,,,,,,,,,,,,,,,,,,,Commerce, 3.59 , 4.92 ,47%,46%
,Estimated Building Points per Round,1.333333333,,,,,,,,,,,,,,,,,,,,,,,Piety, 3.43 , 5.04 ,49%,51%
,Estimated Value of 1 Action in Points,5,,,,,,,,,,,,,,,,,,,,,,,Skullduggery, 4.15 , 5.67 ,45%,42%
,Estimated Intrigue Cards Played per Turn,1.25,,,,,,,,,,,,,,,,,,,,,,,Warfare, 3.38 , 4.73 ,46%,47%
,Players,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Average Quest Values,,,,
,,,Costs,,,,,,,Rewards,,,,,,,,,,,,,,,Median:,3.56,4.80,,
,,Estimated Action Cost:,1,0.5,0.5,1,0.5,0.25,,Estimated Action Cost:,1,0.5,0.5,1,1,0.25,0.5,0.5,-1,1,,,,,,,,,
Expansion,Quest Name,Quest Type,wh,oj,bl,pu,any,gold,Estimated Actions,VP,wh,oj,bl,pu,any,gold,Intrigue,Quest,Corruption,Actions,misc.,Estimated Actions,Estimated Bonus Actions,Estimated Bonus Points,Net Cost - Estimated Actions,No Bonus,4 Point Bonus,No Bonus,4 Point Bonus
Base,Explore Ahghairon's Tower,Arcana,,1,,2,,2,3.5,6,,,,,,,,,,,"Whenever you take an action that provides any pu, also draw an Intrigue card",0,1.5,,2,3.00,5.00,22%,60%
Undermountain,Obtain Builders' Plans,Commerce,,2,2,1,,10,6,13,,,,,,,,,,0,Once per turn you may assign a worker to a building in the Builder's Hall.  You immediately use the effect of the building as though you controlled it.,0,3,0,3,4.33,5.67,88%,85%
Base,Bolster Griffon Cavalry,Warfare,,4,,,,4,3.5,6,,,,,,,,,,,"Whenever you take an action that provides any oj, also take oj from supply and place it in your Tavern",0,1.5,,2,3.00,5.00,22%,60%
Base,Produce Miracle For The Masses,Piety,2,,,,,4,3.5,5,,,,,,,,,,,"Once per round, whenever you take an action that provides any wh, you can also replace oj, bl, or pu in your Tavern with wh",0,1.5,,2,2.50,4.50,13%,27%
Undermountain,Study in the Librarium,Arcana,,,2,5,,5,7.75,11,,,,,,,3.75,,,,"After you take an action that allows you to play any intrigue card, draw an intrigue card.  You can play that card immediately without taking an action.",1.875,1.875,0,4,2.75,3.75,21%,13%
Undermountain,Seize Citadel of the Bloody Hand,Warfare,1,4,,2,,,5.5,6,,,,,,,,,,,Whenever you complete a Quest you may return any resource used on that quest,0,3,0,2.5,2.40,4.00,9%,16%
Base,Defend The Tower Of Luck,Piety,2,1,1,1,,,4.5,0,,,,,1,,,,,,"At the start of each round, take any from the supply and place it in your Tavern",1,3,0,0.5,0.00,8.00,0%,97%
