Name,cost,module,owner benefit,when purchased/start of the round,text,,,,,,,,,,,
Cryptkey Facilitations,7,sp,3 Gold,,3 bl + 5 Gold + 1 Corruption,,,,,,,,,,,
Delver's Folly,6,sp,2 VP,,Remove 1 Corruption from your Tavern and place that on any action space.,,,,,,,,,,,
Monsters Made To Order,3,sp,2 VP,1 Corruption,Take all Corruption on this space.  Return 1 Agent to your pool for each Corruption you took.,,,,,,,,,,,
Promenade Of The Dark Maiden,9,sp,3 VP,,Remove up to 2 Corruption in your Tavern from the game.,,,,,,,,,,,
Secret Shrine,8,sp,1 wh,,Return 1 Corruption: 1 wh,,,,,,,,,,,
Shradin's Excellent Zombies,6,sp,3 Gold,,3 oj + 1 wh + 1 Corruption,,,,,,,,,,,
The Deepfires,6,sp,3 VP,,1 wild + 5 Gold + Corruption + 1 face up Quest,,,,,,,,,,,
The Frontal Lobe,4,sp,The returned wild,,Return wild: 3 pu + 1 Corruption,,,,,,,,,,,
The Hell Hound's Muzzle,8,sp,wild,,1 wh + 1 oj + 1 bl + 1 pu + 1 Corruption,,,,,,,,,,,
The Poisoned Quill,5,sp,1 Intrigue,,Return Corruption: 1 Intrigue,,,,,,,,,,,
The Thrown Gauntlet,8,sp,1 oj + 1 bl,,3 oj + 3 bl + 1 Corruption,,,,,,,,,,,
Thimblewine's Pawnshop,4,sp,2 Gold,,Return Corruption: 1 Gold,,,,,,,,,,,
Belkram's Tomb,5,un,2 Gold,,5 Gold + play 1 Intrigue,,,,,,,,,,,
Citadel Of The Bloody Hand,7,un,2 oj,,4 oj.  Place 1 oj from the supply on each of 2 different action spaces.,,,,,,,,,,,
Hall Of Many Pillars,5,un,1 Intrigue,,3 Intrigue,,,,,,,,,,,
Hall Of Sleeping Kings,4,un,1 oj / 1 bl,,1 oj+ 1 bl + play 1 Intrigue,,,,,,,,,,,
Hall Of Three Lords,6,un,2 VP,,Remove 3 wild from your Tavern and place 1 of those wild on each of 3 different action spaces: 10 VP,,,,,,,,,,,
High Duke's Tomb,7,un,4 Gold,,8 Gold.  Place 2 Gold from the supply on each of 2 different action spaces.,,,,,,,,,,,
Room Of Wisdom,7,un,1 wh,,2 wh.  Place 1 wh from the supply on 1 action space.,,,,,,,,,,,
Shadowdusk Hold,7,un,2 bl,,4 bl.  Place 1 bl from the supply on each of 2 different action spaces.,,,,,,,,,,,
The Eye's Lair,3,un,2 VP,,1 wild + play 1 Intrigue card,,,,,,,,,,,
The Librarium,7,un,1 pu,,2 pu.  Place 1 pu from the supply on 1 action space.,,,,,,,,,,,
The Lost Cavern,6,un,1 wild,,Discard 1 non-Mandatory Quest: 1 oj + 1 bl + 1 wild,,,,,,,,,,,
Tombriand's Graveyard,3,un,1 intrigue,,2 Intrigue + 4 Gold + discard 2 Intrigue,,,,,,,,,,,
