Name,qty,intrigue type,card number,rules,,,,,,,,
Accelerated Plans,1,Utility,13,"Choose 1 of your Agent assigned to Waterdeep Harbor.  Return it to your pool, then immediately assign 2 Agents",,,,,,,,
Ambush,2,Attack,1-2,"Each opponent removes 1 oj from his or her Tavern and returns it to the supply.  For each opponent that could not do so, take 1 oj from the supply and place it in your Tavern.",,,,,,,,
Arcane Mishap,2,Attack,3-4,"Each opponent removes 1 pu from his or her Tavern and returns it to the supply.  For each opponent that could not do so, draw 1 Intrigue",,,,,,,,
Assassination,2,Attack,5-6,"Each opponent removes 1 bl from his or her Tavern and returns it to the supply.  For each opponent that could not do so, take 2 gold from the supply and place it in your Tavern.",,,,,,,,
Bidding War,3,Utility,14-16,"Draw a Quest from the deck equal to the number of players.  Keep one and pass the remaining Quests to the player on your left.  Each player, in turn, chooses 1 Quest to keep, and passes the rest to the left until every player has taken a Quest.",,,,,,,,
Bribe Agent,2,Attack,7-8,pay 2 gold.  Choose an aciton space containing an opponent's Agent.  You use that space's action as though you had assigned an Agent to it.,,,,,,,,
Call For Adventurers,2,Utility,17-18,take 2 any from the supply and place them in your Tavern.  Each opponent takes 1 any from the supply and places it in his or her tavern,,,,,,,,
Call In A Favor,2,Utility,19-20,"Choose 1 of the following to take from the supply: 4 gold, 2 oj, 2 bl, 1 pu, 1 wh",,,,,,,,
Change Of Plans,1,Utility,21,discard an uncompleted Quest.  Score 6 VP.  Each opponent can choose to discard un uncompleted Quest to score 3 VP (You can discard a Mandatory Quest in this way),,,,,,,,
Conscription,2,Utility,22-23,Take 2 oj from the supply and place it in your Tavern.  Choose 1 opponent.  That opponent takes 1 oj from the supply and places it in his or her Tavern,,,,,,,,
Crime Wave,2,Utility,24-25,Take 2 bl from the supply and place it in your Tavern.  Choose 1 opponent.  That opponent takes 1 bl from the supply and places it in his or her Tavern,,,,,,,,
Fend Off Bandits,1,Mandatory Quest,45,2 oj + 1 pu = 2 VP,,,,,,,,
Foil The Zhentarim,1,Mandatory Quest,46,1 oj + 1 bl + 1 pu = 2 VP,,,,,,,,
Free Drinks,2,Attack,9-10,Remove any from an opponent's Tavern and the place it in your Tavern,,,,,,,,
Good Faith,2,Utility,26-27,Take 2 wh from the supply and place it in your Tavern.  Choose 1 opponent.  That opponent takes 1 wh from the supply and places it in his or her Tavern,,,,,,,,
Graduation Day,2,Utility,28-29,Take 2 pu from the supply and place it in your Tavern.  Choose 1 opponent.  That opponent takes 1 pu from the supply and places it in his or her Tavern,,,,,,,,
Lack Of Faith,2,Attack,11-12,"Each opponent removes 1 wh from his or her Tavern and returns it to the supply.  For each opponent that could not do so, you score 2 VP",,,,,,,,
Placate Angry Merchants,1,Mandatory Quest,47,1 wh + 1 oj + 1 pu = 4 VP,,,,,,,,
Quell Riots,1,Mandatory Quest,48,2 wh + 1 oj = 4 VP,,,,,,,,
Real Estate Deal,1,Utility,30,Discard a Building under you control that currently has no Agent assigned to it.  Then choose 1 Building in Builder's Hall and putit in play under your control at no cost.  (Replace that Building afterward.),,,,,,,,
Recall Agent,2,Utility,31-32,Return 1 of your assigned Agent to your pool,,,,,,,,
Recruit Spies,1,Utility,33,Take 2 bl from the supply and place it in your Tavern.  Each opponent can choose to give you 1 bl once to score 3 VP (Place it in your Tavern.),,,,,,,,
Repel Drow Invaders,1,Mandatory Quest,49,1 wh + 2 bl = 2 VP,,,,,,,,
Request Assistance,1,Utility,34,Take 2 oj from the supply and place it in your Tavern.  Each opponent can choose to give you 1 oj once to score 3 VP (Place it in your Tavern.),,,,,,,,
Research Agreement,1,Utility,35,Take 1 pu from the supply and place it in your Tavern.  Each opponent can choose to give you 1 pu once to score 5 VP (Place it in your Tavern.),,,,,,,,
Sample Wares,2,Utility,36-37,Assign 1 of your unused Agent to a Building in Builder's Hall.  You immediately use the effect of that Building as though you controlled it.,,,,,,,,
Special Assignment,2,Utility,38-39,"Choose a Quest type: Arcana, Commerce, Piety, Skullduggery, or Warfare.  Draw and reveal Quests until you reveal a card of the choosen type.  Keep that Quest and discard the rest.",,,,,,,,
Spread The Wealth,2,Utility,40-41,take 4 gold from the supply and choose 1 opponent.  That opponent takes 2 gold from the supply,,,,,,,,
Stamp Out Cultists,1,Mandatory Quest,50,1 wh + 1 oj + 1 bl = 2 VP,,,,,,,,
Summon The Faithful,1,Utility,42,Take 1 wh from the supply and place it in your Tavern.  Each opponent can choose to give you 1 wh once to score 5 VP (Place it in your Tavern.),,,,,,,,
Tax Collection,2,Utility,43-44,take 4 gold from the supply.  Each opponent can choose to pay you 4 gold to score 4 VP,,,,,,,,
